tic,earnings_surprise_ratio,absolute_surprise,price_reaction,rolling_volatility,interest_rate,date
BIO,0.7384050717384051,2.213,-0.031946,0.025811464246144902,0.044,2025-04-13
BIRK,-0.05390793945010823,0.027920000000000056,0.021697,0.20587752249280256,0.044,2025-04-13
BIVI,-3.3879310344827585,78.6,-0.027363,0.08407144627906783,0.044,2025-04-13
BJDX,-4.0,1280.0,-0.164004,0.0606483557253482,0.044,2025-04-13
BK,-0.2857142857142857,0.248,0.015675,0.04890390517979483,0.044,2025-04-13
BKD,15.285714285714285,2.14,-0.135734,0.033491791879813194,0.044,2025-04-13
BKKT,120.40677966101694,355.2,0.10582,0.06920760009116275,0.044,2025-04-13
BKU,-1.668016194331984,0.8240000000000001,0.071121,0.04101124374316059,0.044,2025-04-13
BKYI,-4.666666666666666,20.16,-0.218478,0.08248649696375626,0.044,2025-04-13
BL,1.351887109418748,0.12071,0.180335,0.049781422876227194,0.044,2025-04-13
BLBD,-17.5,0.7000000000000001,-0.166802,0.04598444103459604,0.044,2025-04-13
BLBX,-0.3846153846153845,0.09999999999999998,1.07197,0.1938149703884145,0.044,2025-04-13
BLDE,-2.5294117647058822,0.3225,-0.303258,0.07063855650030583,0.044,2025-04-13
BLDR,1.0488449881847757,3.20462,0.078529,0.024341545505979754,0.044,2025-04-13
BLFY,-inf,0.64,0.028129,0.018637258143673736,0.044,2025-04-13
BLKB,0.692485364979491,0.34778,0.148011,0.03281720450507129,0.044,2025-04-13
BLMN,1.2495079201424686,0.39992999999999995,0.089205,0.024997695274457297,0.044,2025-04-13
BLND,-6.649617519124044,0.44333,-0.087462,0.04323215864684135,0.044,2025-04-13
BLPH,1.5454545454545454,0.765,0.192882,0.053519717304212046,0.044,2025-04-13
BLTE,-0.65,0.13,-0.079875,0.0824147852135966,0.044,2025-04-13
BLX,0.21428571428571436,0.18000000000000005,-0.020487,0.050845851509806965,0.044,2025-04-13
BMA,0.5592920353982302,0.31600000000000006,0.032858,0.06008160419220971,0.044,2025-04-13
BMBL,11.303305523286515,2.14062,0.096654,0.06090877921473697,0.044,2025-04-13
BMEA,-0.056692797287002626,0.04613999999999996,0.990279,0.18526549994287914,0.044,2025-04-13
BMI,0.20731707317073178,0.17000000000000004,0.166536,0.043697587585650066,0.044,2025-04-13
BMRN,2.244179085157678,2.7739399999999996,-0.021501,0.11112577802592837,0.044,2025-04-13
BMY,0.2722333534104458,0.4429399999999999,0.114425,0.0316417279321644,0.044,2025-04-13
BNAI,0.11111111111111106,0.01999999999999999,-0.251867,0.05901333936096943,0.044,2025-04-13
